,image_file_name,pixel_matrix,label
0,0_0,"[255 255 255 255 255 255 251 215 255 251 216 223 242 248 238 235 253 255
 246 255 168 250 254 237 251 255 251 247 212 253 255 248 244 253 255 228
 253 254 227 255 251 254 254 253 236 252 230 255 241 252 255 230 255 255
 244 248 255 244 234 255 255 235 249 255 241 240 244 229 250 240 248 235
 237 253 249 240 255 215 233 255 250 237 241 251 255 249 255 255 242 248
 253 231 221 246 255 249 255 241 246 255 248 255 231 235 241 246 247 231
 236 248 255 241 248 255 254 255 247 224 239 255 255 251 245 248 235 237
 238 247 251 239 238 255 245 245 253 255 252 247 255 254 251 255 253 249
 252 249 255 215  59  48 106 255 229 233 252 244 241 255 255 253 221 237
 255 244 240 247 224 147 146 223 137 104 255 245 255 239 236 255 231 244
 252 255 251 230 251 252 227  91 222 255 232  14 252 244 255 230 237 195
 254 255 240 254 255 248 252 246 255  16 239 255 255  29 239 248 252 244
 252 245 247 254 254 245 255 227 232 250 255  15 214 213 255  53 208 255
 254 255 254 255 255 254 255 245 246 255 230 242 255  67 166 233 214  68
 194 241 244 254 247 255 239 245 255 225 240 255 244 249 255 106  72 229
 207 137 227 227 233 248 236 247 249 249 220 240 255 251 240 245 255 228
 125  64  69 161 255 255 249 245 252 253 254 252 255 240 255 255 230 215
 232 255 229 233 255 255 253 237 227 237 255 253 254 226 255 242 236 248
 255 250 232 253 251 248 247 224 248 228 238 245 246 210 225 255 255 255
 251 235 254 255 252 250 252 254 249 226 255 254 255 255 255 217 254 254
 255 233 255 255 248 241 219 251 254 255 254 255 254 255 251 252 218 248
 255 254 255 252 252 247 255 222 221 230 254 241 250 250 251 254 255 255
 255 255 255 255]",0
1,0_1,"[238 218 255 255 252 247 255 245 218 253 255 247 231 255 245 239 252 233
 240 246 251 246 250 255 249 230 255 231 227 255 255 248 233 248 214 239
 253 232 219 255 255 255 254 251 237 255 255 245 231 255 253 235 220 252
 235 231 225 189 244 238 245 242 251 255 252 247 255 254 254 252 237 241
 255 254 253 255 254 255 253 225 243 249 255 249 238 230 223 255 247 255
 251 233 255 234 226 246 236 255 248 243 255 253 247 255 252 251 247 255
 252 223 255 255 249 216 255 252 255 252 239 255 233 254 233 250 255 254
 255 250 209 232 230 241 250 250 247 232 255 255 252 246 247 255 255 239
 251 255 247 255 255 254 255 254 246 250 213 255 250 254 239 255 255 252
 205 252 254 250  97  75  74 237 255 255 255 255 255 240 255 251 253 249
 231 255 242 234 219 150 118 234 137 102 255 253 254 254 241 254 252 236
 252 240 247 254 255 252 228  48 223 255 233  34 252 224 251 255 255 236
 251 239 242 251 255 255 252 249 255   1 222 241 255   0 245 239 254 253
 255 229 227 248 253 238 254 255 255 255 251  25 235 254 255  48 222 253
 255 234 253 255 215 246 241 255 255 255 241 248 248  18 226 255 242  57
 238 225 253 238 253 254 219 243 255 255 255 255 227 237 248  90 132 243
 152  83 235 255 255 217 247 240 253 248 254 253 251 237 248 255 246 227
  42  63  76 231 253 233 253 242 241 254 236 213 250 250 252 250 249 232
 237 241 203 234 248 254 255 251 253 255 255 238 254 252 248 248 223 255
 218 241 251 252 252 255 255 255 247 254 241 250 255 255 248 251 234 225
 246 254 247 253 255 255 255 223 239 255 232 250 246 252 255 255 241 236
 255 236 250 253 255 255 254 255 251 251 255 248 252 255 255 255 254 255
 250 254 252 218]",0
2,0_2,"[255 240 244 242 229 249 252 253 248 241 255 255 254 255 255 255 255 255
 255 255 255 228 236 250 255 255 231 243 255 235 232 251 255 255 248 247
 255 255 255 255 255 218 254 254 255 236 233 252 246 246 252 255 254 241
 244 245 255 242 239 234 255 255 254 246 251 250 255 255 232 255 235 253
 253 245 255 243 252 253 248 218 255 246 255 254 254 254 233 153 173 232
 223 246 253 240 248 200 217 255 254 246 255 255 252 246 255 231 151  94
  95 131 255 253 248 227 255 255 243 209 255 249 255 248 255 244 255 127
  84 250 255 102 161 255 248 248 246 249 255 251 247 232 255 242 251 238
 255  66 140 255 253  48 153 255 255 252 230 239 252 251 251 244 255 252
 254 255 244  37 206 255 255  30 184 255 255 255 254 255 244 249 255 252
 254 244 248 255 253  39 238 250 247  38 209 238 255 250 242 252 255 247
 255 245 246 255 237 255 215  84 212 254 207  49 255 217 243 243 255 254
 255 253 255 221 230 235 238 220 255 160  70 149 107 182 255 247 244 242
 255 251 247 255 250 209 229 207 245 255 254 221 130 113 179 255 255 255
 255 238 247 236 246 255 248 236 255 255 248 252 240 255 255 255 235 200
 207 201 239 251 246 255 251 249 249 255 254 249 254 255 237 254 252 250
 239 249 249 233 244 255 250 254 255 254 252 255 255 250 254 254 204 231
 249 244 242 245 254 255 255 247 234 251 241 255 255 255 246 240 254 255
 245 244 255 255 255 254 251 255 255 237 255 242 252 216 232 255 247 255
 252 242 241 255 254 254 251 245 243 250 245 236 255 250 236 225 240 255
 254 234 241 251 223 231 249 254 243 246 253 249 244 234 250 254 247 243
 255 255 255 255 255 255 255 255 247 255 254 249 252 255 252 245 209 214
 255 255 255 255]",0
3,0_3,"[255 255 255 255 255 250 253 255 255 255 253 239 253 255 235 253 247 238
 254 255 254 253 255 232 254 255 213 213 250 253 255 215 247 255 253 247
 255 255 252 255 240 247 251 255 251 240 234 249 255 234 230 219 245 255
 249 248 255 235 246 255 207 237 247 251 234 235 254 219 243 224 238 234
 244 249 255 237 240 252 253 255 245 227 243 254 241 252 254 243 255 234
 240 255 255 250 232 226 238 242 255 255 247 235 247 255 255 255 255 255
 255 255 255 254 252 255 240 239 255 253 246 230 247 244 255 252 255 245
 221 240 236 225 247 252 250 247 255 255 251 247 254 246 243 234 255 242
 242 239 236 239 216 255 254 255 251 242 255 253 251 251 248 228 246 223
 252 222 213 250 248 253 249 216 255 255 249 223 232 255 245 236 255 241
 245 237 250 243 235 255 224  82  81  62 255 255 253 255 225 250 233 249
 249 223 253 234 250 251 255 255 171  90 224 127 124 245 255 248 245 249
 228 254 243 244 240 238 236 243 231 255 100 186 255 234  35 205 255 249
 207 245 249 255 233 216 255 245 255 249 239 255  47 173 255 255  40 184
 251 248 230 247 255 242 246 254 210 244 252 233 248 255  59 150 255 255
  67 162 255 241 255 255 255 229 236 255 254 252 222 243 246 255 108 128
 252 239  93 156 255 249 247 253 255 251 241 246 255 236 240 255 254 255
 166 111 209 208 128 216 255 252 223 227 255 255 251 228 255 255 255 249
 248 255 244 168  51  50 119 255 255 246 224 235 248 233 255 246 255 244
 254 237 229 242 255 246 215 237 255 252 246 250 244 255 250 235 249 244
 255 252 242 223 228 233 255 255 255 246 247 252 245 249 224 254 249 245
 245 228 255 228 245 228 217 252 255 255 254 243 254 232 220 255 247 255
 255 255 255 255]",0
4,0_4,"[255 246 239 249 247 249 254 251 246 250 255 252 231 243 255 255 255 255
 255 255 255 255 255 222 248 255 248 249 242 235 255 231 239 251 239 229
 248 237 254 217 255 247 232 243 254 255 222 255 232 217 245 229 255 247
 211 248 255 255 236 243 255 233 255 254 255 255 240 251 207 222 250 252
 244 251 243 253 255 231 229 241 255 241 243 255 246 220 255 255 255 255
 254 245 226 244 255 245 249 252 251 252 255 246 247 236 255 212 115 155
 215 255 255 246 232 248 250 219 223 255 250 235 243 238 246 255 213 149
 113  76 148 247 254 255 253 255 253 255 242 237 254 242 255 255 243 255
 106 133 242 222  88 202 255 245 252 255 248 254 238 241 255 255 254 255
 254 255  14 199 247 255  31 199 255 255 242 241 237 248 251 254 255 250
 254 252 248 255   0 235 255 255   0 237 241 245 239 244 255 252 230 227
 234 245 253 240 232 224  34 255 255 219  10 255 255 252 252 255 254 233
 255 251 249 249 252 252 251 181  82 217 255 137  49 255 224 255 255 254
 255 255 254 255 254 252 245 244 255 254 133  47 117  95 164 255 224 251
 251 255 248 250 239 217 255 255 236 241 255 253 224 155 117 205 253 242
 254 255 239 238 242 237 241 246 255 255 249 255 222 241 255 255 255 255
 237 246 255 228 216 231 243 243 247 251 255 255 243 253 254 255 238 255
 255 226 249 252 255 247 217 237 247 255 247 254 247 255 240 255 220 255
 239 228 255 255 255 255 245 255 238 252 238 247 230 254 255 255 255 251
 233 237 240 231 237 255 254 255 253 255 255 245 255 243 254 224 239 255
 255 246 233 247 247 252 231 255 252 246 255 255 251 230 239 255 249 217
 251 255 255 255 255 255 255 255 255 254 252 250 255 254 247 229 224 240
 233 254 255 255]",0
5,0_5,"[255 255 254 237 250 231 255 255 255 254 255 255 202 242 255 255 255 255
 255 255 255 228 255 245 252 255 251 231 249 250 254 246 245 255 249 224
 244 241 249 254 255 238 255 251 244 255 247 210 219 255 255 255 255 238
 229 248 255 241 235 246 255 254 255 253 251 255 255 246 217 249 238 248
 217 229 247 255 254 251 250 246 255 255 254 255 246 241 252 255 237 223
 246 249 250 247 245 238 252 254 251 247 255 254 255 255 246 232 255 226
 228 255 255 228 237 255 234 238 241 247 253 250 254 255 238 249 255 232
 242 245 193 218 255 255 235 250 253 255 236 238 255 253 236 245 246 244
 233 235 250 251 100  52  72 208 253 246 247 249 255 240 253 236 255 254
 255 242 236 255 255  94 146 255 123 114 220 252 244 245 249 222 247 255
 253 255 255 249 255 237 255  24 213 223 196  97 242 245 255 251 236 217
 254 225 248 255 249 254 253 238 235   1 255 232 241  25 247 248 239 254
 255 221 248 228 254 247 229 246 255 255 201  42 255 255 215  41 255 255
 241 254 241 242 231 244 249 238 243 253 254 253 190 109 255 255 168  37
 255 254 253 247 227 255 240 255 231 245 255 255 249 252 223 119 158 196
  78 108 255 253 251 255 253 249 255 255 255 240 243 255 252 253 255 182
  35  10 146 255 255 250 254 248 245 255 254 254 248 248 255 255 255 255
 248 255 242 220 240 242 239 248 235 245 251 255 254 255 255 255 233 250
 255 238 233 244 255 253 254 254 235 240 237 243 255 254 246 255 242 255
 245 239 254 239 255 235 250 255 242 253 244 247 255 248 253 243 251 255
 254 255 236 246 254 251 255 246 252 226 234 254 247 255 255 255 255 255
 254 255 255 255 255 255 255 235 255 255 224 255 240 251 252 241 254 255
 254 255 231 255]",0
6,0_6,"[255 248 235 255 244 244 255 250 237 255 251 242 229 233 251 250 255 255
 255 255 255 255 239 235 251 249 245 254 246 242 255 255 251 248 255 254
 251 251 236 240 255 234 244 244 251 246 237 239 220 255 240 220 244 249
 247 249 255 255 255 248 255 249 238 248 255 255 254 244 219 228 255 242
 241 255 239 239 254 252 250 250 255 255 249 241 226 234 254 250 255 226
 229 255 237 242 254 254 245 246 248 235 253 253 255 255 212 238 255 244
 247 255 255 255 228 240 248 247 235 245 255 246 254 255 228 233 255 244
 247 239 248 255 255 199 224 255 234 242 249 248 243 252 255 255 233 240
 239 231 236 250 249 245 254 252 233 253 250 254 236 239 246 252 253 239
 255 255 234 255 255 219 233 210 245 234 254 246 255 230 223 252 241 252
 239 253 237 216 255 255 216  68  82  73 212 245 219 238 236 237 254 245
 218 246 251 227 243 222 255 243  64 195 255 154  96 255 208 243 244 255
 252 234 250 234 246 245 255 255 255 222  48 246 241 229  83 255 212 255
 255 250 234 254 229 255 231 255 248 254 255 193  47 255 255 200  43 255
 249 245 232 254 226 247 255 254 218 242 255 253 255 169  88 255 255 176
  57 255 245 218 243 254 255 242 255 255 253 232 236 255 255 161  89 255
 243 152 108 255 242 248 255 248 254 251 255 254 242 242 233 232 249 236
 135 179 187 121 195 255 254 252 232 244 255 255 255 252 244 252 255 239
 239 255 202  59  37 177 255 255 245 239 246 254 249 239 250 255 245 255
 231 244 248 249 255 255 255 223 241 234 240 255 242 236 245 223 236 255
 248 242 231 237 255 253 229 247 242 244 255 208 237 254 244 245 232 245
 242 255 255 255 255 255 252 234 238 253 251 253 255 248 250 230 226 255
 224 234 255 255]",0
7,0_7,"[255 232 255 246 254 248 255 246 234 255 249 227 255 255 247 231 255 255
 255 255 255 242 232 237 254 245 255 244 221 224 222 255 253 249 241 226
 250 249 229 255 255 255 243 243 243 241 255 248 242 255 254 255 255 251
 247 245 255 255 255 247 255 240 255 248 245 255 250 253 255 242 238 252
 214 214 255 255 255 250 239 239 249 251 253 252 245 240 233 245 255 252
 255 243 234 244 255 241 239 240 234 249 246 255 248 253 247 237 238 253
 248 222 243 247 244 254 255 246 221 235 252 249 255 237 245 255 236 255
 255 255 249 254 255 231 247 255 255 255 231 229 236 251 255 239 255 244
 244 208 191 187 248 255 255 244 228 237 215 246 248 253 245 247 236 255
 214 245 201  86  95  47 210 255 255 255 230 245 234 251 255 249 255 240
 251 209 230 255  75 155 255 206  63 223 253 246 251 253 255 255 250 255
 251 252 254 236 255 236  26 255 255 244  19 233 255 255 255 245 252 255
 255 255 243 237 255 255 253 218  23 255 244 208  32 255 250 222 255 246
 253 253 255 252 247 250 251 238 255 182  53 255 229 181  53 255 244 247
 248 254 255 250 242 255 249 210 239 252 255 182  85 245 255 146  72 255
 255 250 243 255 255 243 238 255 251 237 252 255 255 230 126 116 137 110
 201 248 220 255 238 216 240 253 253 253 255 254 255 253 228 250 219 100
  55 164 252 224 255 255 252 237 245 255 250 245 248 241 251 245 241 243
 251 255 255 255 243 233 249 255 239 240 248 254 253 234 242 255 254 248
 238 238 223 244 255 246 242 253 242 249 251 249 255 243 247 243 244 255
 236 240 235 244 251 249 252 255 254 254 255 233 250 251 237 241 247 247
 249 255 255 255 255 255 255 239 251 255 235 252 240 248 249 250 242 247
 249 233 228 255]",0
8,0_8,"[255 255 255 255 255 236 255 255 255 255 247 230 254 234 254 253 255 254
 254 255 195 243 255 237 255 238 253 223 247 244 246 250 254 233 234 255
 254 255 251 255 250 228 254 210 254 224 255 244 254 255 252 216 250 255
 241 255 255 254 255 255 246 246 238 248 255 237 240 255 241 255 218 234
 253 254 255 246 255 255 253 255 255 250 212 214 249 255 255 255 255 225
 245 255 254 255 255 255 224 229 253 255 238 233 253 255 249 255 204 106
  39 157 255 255 255 241 239 243 228 237 241 254 221 216 254 253 242 207
 121 138 165 113 165 255 240 241 226 224 254 252 251 239 250 250 232 236
 250 172  71 240 240 119  57 255 199 252 255 232 221 252 255 252 246 227
 255 243 228 193  71 255 255 186  37 255 229 255 248 255 245 247 253 233
 245 231 255 245 255 212  33 255 255 242  43 247 248 255 238 255 255 255
 255 247 248 227 255 249 250 254   8 223 228 209  76 243 250 254 246 254
 255 227 251 246 255 255 255 222 237 255  90 174 255 195  85 227 233 249
 255 255 255 234 253 237 234 215 228 243 241 255 233 102  59  68 210 255
 245 249 234 241 249 252 255 255 242 249 255 255 242 247 255 213 203 233
 255 247 254 247 233 233 244 241 237 255 241 249 255 254 241 231 245 255
 255 255 254 252 252 253 253 255 254 236 232 249 255 244 255 255 233 215
 246 251 252 253 246 242 234 247 255 238 226 255 245 228 255 249 237 255
 248 239 255 245 246 253 239 255 254 235 252 217 208 226 255 255 255 232
 247 255 255 255 242 251 221 244 255 244 248 255 230 207 248 248 255 254
 255 231 242 253 255 255 229 255 236 253 255 254 233 255 219 216 244 255
 241 253 255 252 255 255 253 255 241 253 254 249 253 230 252 255 226 255
 255 255 255 255]",0
9,0_9,"[255 255 247 251 255 251 250 253 248 239 252 255 255 255 255 255 255 255
 255 255 255 255 250 254 255 255 250 255 255 217 242 255 242 252 255 235
 252 241 242 218 255 252 251 233 240 244 255 240 255 245 254 255 250 255
 243 233 253 255 244 246 255 243 221 223 242 255 253 233 253 255 255 255
 255 253 226 255 250 217 254 250 255 255 253 251 235 242 255 255 239 251
 255 255 242 214 250 255 240 239 255 252 255 255 242 242 248 239 253 255
 245 237 255 255 247 230 254 254 242 224 254 239 255 250 240 247 255 252
 253 255 252 250 255 255 255 254 246 243 250 255 255 251 244 255 255 255
 249 255 255 255 255 252 250 241 246 255 252 236 234 255 238 239 225 245
 255 216 255 165 142 179 223 251 249 253 252 255 231 243 249 246 250 246
 239 222 245 250 180 119 143  63 178 251 255 228 252 255 245 251 227 251
 250 252 249 252 255 222  47 214 254 168 117 255 254 244 254 222 255 236
 246 255 253 255 255 253 255 182  44 255 238 188  12 255 255 254 245 225
 255 255 250 241 254 236 255 233 230 134  77 255 255 147  79 255 250 255
 255 255 248 247 255 255 255 243 242 245 255 105 111 255 255 102 102 255
 255 251 247 255 241 233 255 241 231 227 255 252 252 111  95 255 241  87
 177 255 227 243 255 237 251 254 252 254 248 255 253 255 254 255  73 117
  97 114 224 236 244 252 251 229 245 237 216 244 255 255 251 253 255 223
 200 156 134 230 228 242 255 218 244 255 252 255 251 255 248 255 252 241
 255 234 245 255 255 248 255 254 246 247 255 254 255 255 235 254 254 255
 244 255 248 252 242 253 249 246 254 255 248 231 254 242 255 255 254 252
 242 255 255 255 255 255 255 255 250 236 245 253 250 236 254 243 253 244
 229 255 251 255]",0
